id,player_api_id,player_name,player_fifa_api_id,birth_date,height,weight,age
1,505942,Aaron Appindangoye,218353,2/29/1992 0:00,182.88,187,34
2,155782,Aaron Cresswell,189615,12/15/1989 0:00,170.18,146,32
3,162549,Aaron Doran,186170,5/13/1991 0:00,170.18,163,36
4,30572,Aaron Galindo,140161,5/8/1982 0:00,182.88,198,29
5,23780,Aaron Hughes,17725,11/8/1979 0:00,182.88,154,30
6,27316,Aaron Hunt,158138,9/4/1986 0:00,182.88,161,28
7,564793,Aaron Kuhl,221280,1/30/1996 0:00,172.72,146,22
8,30895,Aaron Lennon,152747,4/16/1987 0:00,165.1,139,35
9,528212,Aaron Lennox,206592,2/19/1993 0:00,190.5,181,29
10,101042,Aaron Meijers,188621,10/28/1987 0:00,175.26,170,27
11,23889,Aaron Mokoena,47189,11/25/1980 0:00,182.88,181,30
12,231592,Aaron Mooy,194958,9/15/1990 0:00,175.26,150,33
13,163222,Aaron Muirhead,213568,8/30/1990 0:00,187.96,168,29
14,40719,Aaron Niguez,183853,4/26/1989 0:00,170.18,143,28
15,75489,Aaron Ramsey,186561,12/26/1990 0:00,177.8,154,29
16,597948,Aaron Splaine,226014,10/13/1996 0:00,172.72,163,29
17,161644,Aaron Taylor-Sinclair,213569,4/8/1991 0:00,182.88,176,29
18,23499,Aaron Wilbraham,2335,10/21/1979 0:00,190.5,159,29
19,120919,Aatif Chahechouhe,187939,7/2/1986 0:00,175.26,150,27
20,46447,Abasse Ba,156626,7/12/1976 0:00,187.96,185,26
21,167027,Abdelaziz Barrada,192274,6/19/1989 0:00,177.8,161,28
22,245653,Abdelfettah Boukhriss,202425,10/22/1986 0:00,185.42,161,22
23,128456,Abdelhamid El Kaoutari,188145,3/17/1990 0:00,180.34,161,35
24,42664,Abdelkader Ghezzal,178063,12/5/1984 0:00,182.88,172,34
25,425950,Abdellah Zoubir,212934,12/5/1991 0:00,180.34,161,31
26,38423,Abdelmajid Oulmers,52782,9/12/1978 0:00,172.72,143,28
27,3264,Abdelmalek Cherrad,51868,1/14/1981 0:00,185.42,165,34
28,467485,Abdelmalek El Hasnaoui,209399,2/9/1994 0:00,180.34,159,26
29,306735,Abdelouahed Chakhsi,210504,10/1/1986 0:00,182.88,170,26
30,41659,Abderrazak Jadid,149241,6/1/1983 0:00,177.8,157,20
