id,country_id,league_id,season,stage,date,match_api_id,home_team_api_id,away_team_api_id,home_team_goal,away_team_goal,B365H,B365D,B365A
1,1,1,2008/2009,1,8/17/2008 0:00,492473,9987,9993,1,1,1.73,3.4,5
2,1,1,2008/2009,1,8/16/2008 0:00,492474,10000,9994,0,0,1.95,3.2,3.6
3,1,1,2008/2009,1,8/16/2008 0:00,492475,9984,8635,0,3,2.38,3.3,2.75
4,1,1,2008/2009,1,8/17/2008 0:00,492476,9991,9998,5,0,1.44,3.75,7.5
5,1,1,2008/2009,1,8/16/2008 0:00,492477,7947,9985,1,3,5,3.5,1.65
6,1,1,2008/2009,1,9/24/2008 0:00,492478,8203,8342,1,1,4.75,3.4,1.67
7,1,1,2008/2009,1,8/16/2008 0:00,492479,9999,8571,2,2,2.1,3.2,3.3
8,1,1,2008/2009,1,8/16/2008 0:00,492480,4049,9996,1,2,3.2,3.4,2.2
9,1,1,2008/2009,1,8/16/2008 0:00,492481,10001,9986,1,0,2.25,3.25,2.88
10,1,1,2008/2009,10,11/1/2008 0:00,492564,8342,8571,4,1,1.3,5.25,9.5
11,1,1,2008/2009,10,10/31/2008 0:00,492565,9985,9986,1,2,1.3,5.25,9.5
12,1,1,2008/2009,10,11/2/2008 0:00,492566,10000,9991,0,2,2.6,3.2,2.5
13,1,1,2008/2009,10,11/1/2008 0:00,492567,9994,9998,0,0,1.91,3.4,4
14,1,1,2008/2009,10,11/1/2008 0:00,492568,7947,10001,2,2,2.9,3.3,2.38
15,1,1,2008/2009,10,11/1/2008 0:00,492569,8203,9999,1,2,1.7,3.3,4.5
16,1,1,2008/2009,10,11/1/2008 0:00,492570,9996,9984,0,1,2.35,3.3,3
17,1,1,2008/2009,10,11/1/2008 0:00,492571,4049,9987,1,3,6,3.75,1.57
18,1,1,2008/2009,10,11/2/2008 0:00,492572,9993,8635,1,3,4,3.25,1.83
19,1,1,2008/2009,11,11/8/2008 0:00,492573,8635,9994,2,3,1.36,4.75,8.5
20,1,1,2008/2009,11,11/8/2008 0:00,492574,9998,9996,0,0,2.4,3.3,2.9
21,1,1,2008/2009,11,11/9/2008 0:00,492575,9986,8342,2,2,3.2,3.3,2.25
22,1,1,2008/2009,11,11/7/2008 0:00,492576,9984,10000,2,0,1.75,3.75,4.33
23,1,1,2008/2009,11,11/8/2008 0:00,492577,9991,7947,1,1,1.4,4.33,8
24,1,1,2008/2009,11,11/8/2008 0:00,492578,9999,4049,1,2,1.83,3.5,4.2
25,1,1,2008/2009,11,11/8/2008 0:00,492579,8571,8203,0,0,2,3.5,3.6
26,1,1,2008/2009,11,11/8/2008 0:00,492580,10001,9987,1,0,2.7,3.25,2.6
27,1,1,2008/2009,11,11/9/2008 0:00,492581,9993,9985,1,3,3.6,3.3,2.05
28,1,1,2008/2009,12,11/16/2008 0:00,492582,8342,8635,1,1,2.3,3.25,2.9
29,1,1,2008/2009,12,11/15/2008 0:00,492583,9987,9999,1,1,1.25,5.25,10
30,1,1,2008/2009,12,11/15/2008 0:00,492584,10000,9993,2,2,2,3.25,3.5
31,1,1,2008/2009,12,11/16/2008 0:00,492585,9994,9985,1,1,3.25,3.25,2.1
32,1,1,2008/2009,12,11/15/2008 0:00,492586,7947,8571,1,0,2.3,3.25,2.8
33,1,1,2008/2009,12,11/15/2008 0:00,492587,8203,9998,0,0,2.05,3.25,3.4
34,1,1,2008/2009,12,11/15/2008 0:00,492588,9996,9986,2,1,2.2,3.25,3
35,1,1,2008/2009,12,11/15/2008 0:00,492589,4049,9984,3,0,4.33,3.4,1.75
36,1,1,2008/2009,12,11/14/2008 0:00,492590,10001,9991,3,2,2.5,3.3,2.75
37,1,1,2008/2009,13,11/22/2008 0:00,492591,8635,10001,2,0,1.44,4.33,7
38,1,1,2008/2009,13,11/22/2008 0:00,492592,9985,9996,3,1,1.36,4.5,9
39,1,1,2008/2009,13,11/22/2008 0:00,492622,9998,8342,1,2,4.33,3.4,1.85
